Assessment_Sequence_ID,Student_ID,Student or LA,PRE Agree To Participate,PRE Submitted,PRE Duration (Seconds),POST Agree To Participate,POST Submitted,POST Duration (Seconds),PRE % Answered,POST % Answered,PRE-score,POST-score,Effect-size,Learning_gain,male,female,transgender,other,Hispanic,white,black,asian,american_indian,hawaiian_or_other_pacific_islander,other,Year_in_school,First_time,0min_week_wLA,1-5min_week_wLA,6-15min_week_wLA,16-30min_week_wLA,30+min_week_wLA
10,817,0,I agree to participate,2015-08-26 00:00:00,2607.883,,,,100,,31.91489362,,,,1,0,0,0,1,0,0,0,0,0,1,2nd,0,1,0,0,0,0
10,818,0,I agree to participate,2015-08-26 00:00:00,1383.563,,,,100,,42.55319149,,,,1,0,0,0,1,0,0,0,0,0,1,2nd,0,1,0,0,0,0
10,819,0,I agree to participate,2015-08-26 00:00:00,3486.328,,,,100,,74.46808511,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,820,0,I agree to participate,2015-08-26 00:00:00,1551.296,,,,100,,44.68085106,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
10,821,0,I agree to participate,2015-08-26 00:00:00,2044.11,I agree to participate,2015-12-15 09:35:54,1041.813,100,100,23.40425532,65.95744681,5.940885258,0.555555556,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,822,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
10,823,0,I agree to participate,2015-08-26 00:00:00,1713.011,,,,100,,46.80851064,,,,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,824,0,I agree to participate,2015-08-26 00:00:00,1031.314,,,,100,,34.04255319,,,,0,0,0,1,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,825,0,I agree to participate,2015-08-26 00:00:00,1933.742,,,,100,,12.76595745,,,,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
10,826,0,I agree to participate,2015-08-26 00:00:00,2785.297,I agree to participate,2015-12-15 16:45:29,1982.058,100,100,31.91489362,76.59574468,6.237929521,0.65625,0,1,0,0,0,0,0,1,0,0,0,1st,1,1,0,0,0,0
10,827,0,I agree to participate,2015-08-26 00:00:00,2712.149,I agree to participate,,,100,,80.85106383,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,828,0,I agree to participate,2015-08-26 00:00:00,3449.403,I agree to participate,2015-12-15 11:40:32,4932.908,100,100,38.29787234,78.72340426,5.643840995,0.655172414,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,829,0,I agree to participate,2015-08-26 00:00:00,2867.193,I agree to participate,,,100,,38.29787234,,,,1,0,0,0,0,0,0,1,0,0,0,1st,1,1,0,0,0,0
10,830,0,I do not agree to participate,,,I agree to participate,2015-12-14 20:36:04,965.297,,51.06382979,,29.78723404,,,0,1,0,0,1,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,831,0,I agree to participate,2015-08-26 00:00:00,3894.722,,,,100,,89.36170213,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,832,0,I agree to participate,2015-08-26 00:00:00,3095.754,I agree to participate,,,100,,51.06382979,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,833,0,I agree to participate,2015-08-26 00:00:00,2281.985,,,,97.87234043,,59.57446809,,,,1,0,0,0,0,0,0,0,0,0,1,1st,1,1,0,0,0,0
10,834,0,I agree to participate,2015-08-26 00:00:00,2062.237,,,,100,,42.55319149,,,,1,0,0,0,1,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,835,0,I agree to participate,2015-08-26 00:00:00,2913.662,,,,100,,51.06382979,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
10,836,0,I agree to participate,2015-08-26 00:00:00,2184.812,,,,100,,27.65957447,,,,0,1,0,0,0,0,1,0,0,0,0,1st,1,1,0,0,0,0
10,837,0,I agree to participate,2015-08-26 00:00:00,2628.44,,,,100,,27.65957447,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
11,838,0,I agree to participate,2015-08-26 00:00:00,2803.681,,,,89.36170213,,8.510638298,,,,0,1,0,0,0,0,1,0,0,0,0,5th,1,1,0,0,0,0
11,839,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
11,840,0,I agree to participate,2015-08-26 00:00:00,76894.026,,,,100,,6.382978723,,,,1,0,0,0,0,1,0,0,0,0,0,5th,1,1,0,0,0,0
11,841,0,I agree to participate,2015-08-26 00:00:00,3553.949,,,,100,,91.4893617,,,,1,0,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
11,842,0,I agree to participate,2015-08-26 00:00:00,1959.101,I agree to participate,2015-12-18 21:30:09,999.4,100,100,12.76595745,17.0212766,0.148967785,0.048780488,1,0,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
11,843,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
11,844,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
11,845,0,I agree to participate,2015-08-26 00:00:00,2379.171,,,,100,,14.89361702,,,,0,1,0,0,0,0,0,1,0,0,0,3rd,1,1,0,0,0,0
11,846,0,,,,I agree to participate,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,3rd,0,1,0,0,0,0
11,847,0,I agree to participate,2015-08-26 00:00:00,166.542,,,,100,,14.89361702,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
11,848,0,I agree to participate,2015-08-26 00:00:00,1971.977,I agree to participate,2015-12-16 09:15:19,2344.624,100,100,27.65957447,46.80851064,0.67035503,0.264705882,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
11,850,0,I agree to participate,2015-08-26 00:00:00,1128.856,,,,100,,82.9787234,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
11,849,0,I agree to participate,2015-08-26 00:00:00,4586.4,,,,100,,48.93617021,,,,1,0,0,0,0,0,0,1,0,0,0,2nd,1,1,0,0,0,0
11,851,0,I agree to participate,2015-08-26 00:00:00,1322.375,,,,100,,87.23404255,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
11,852,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
11,857,0,I agree to participate,2015-08-26 00:00:00,3317.538,,,,100,,93.61702128,,,,0,1,0,0,0,1,0,0,0,0,0,2nd,0,1,0,0,0,0
11,853,,I do not agree to participate,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
338,9792,0,,,,I agree to participate,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
564,15001,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
514,13117,0,I agree to participate,2016-09-01 09:47:34,1138.074,,,,100,,45.83333333,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
156,1040,0,I agree to participate,2015-09-01 00:00:00,1889.778,I agree to participate,,,100,,40.90909091,,,,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
387,10473,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
242,5228,0,I agree to participate,2016-01-19 09:37:50,470.914,I agree to participate,2016-05-10 08:03:53,686.933,100,100,22.58064516,22.58064516,0,0,1,0,0,0,1,0,1,0,0,0,0,1st,1,1,0,0,0,0
247,5436,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
135,656,0,I agree to participate,,,I agree to participate,2015-11-10 00:00:00,1114.142,,100,,53.33333333,,,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
30,1698,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
576,15415,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
235,5180,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
156,897,0,I agree to participate,,,I agree to participate,2015-12-16 17:40:33,1655.269,,100,,81.81818182,,,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
342,9967,0,I agree to participate,2016-01-31 18:33:24,811.38,,,,100,,26.92307692,,,,0,1,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
284,7706,0,I agree to participate,2016-01-21 17:03:31,612.322,I agree to participate,2016-05-02 08:13:30,186.573,100,100,20,16.66666667,-0.153642817,-0.041666667,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
467,11399,0,I agree to participate,2016-08-21 13:40:42,257.11,,,,100,,25,,,,0,1,0,0,1,1,0,0,0,0,0,1st,1,1,0,0,0,0
174,2587,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
295,7924,0,I agree to participate,2016-01-25 12:59:13,1305.744,I agree to participate,2016-04-26 22:19:55,441.506,100,100,26.66666667,36.66666667,0.530527491,0.136363636,0,1,0,0,0,1,0,0,0,0,0,3rd,0,1,0,0,0,0
339,9736,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
17,1419,0,,,,I agree to participate,2015-12-08 14:44:52,268.007,,100,,38.29787234,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
499,12052,0,I agree to participate,2016-08-28 12:21:55,5561.691,,,,100,,23.40425532,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,0,1,0,0,0,0
336,9586,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
336,9635,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
209,5306,0,I agree to participate,2016-01-22 09:12:55,750.912,,,,100,,27.27272727,,,,0,1,0,0,0,1,0,0,0,0,0,1st,0,1,0,0,0,0
349,10115,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
542,7276,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
286,8597,0,I agree to participate,2016-01-23 19:50:14,717.912,I agree to participate,2016-04-23 22:43:00,1349.957,100,100,41.66666667,41.66666667,0,0,0,1,0,0,1,1,0,0,0,0,0,2nd,1,1,0,0,0,0
36,2016,0,I agree to participate,2015-09-14 00:00:00,622.581,I agree to participate,,,100,,37.5,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
274,7449,0,I agree to participate,2016-01-21 15:43:45,1072.433,,,,100,,30,,,,0,1,0,0,0,1,0,0,0,0,0,5th,1,1,0,0,0,0
137,3011,0,I agree to participate,2015-09-11 00:00:00,872.884,I agree to participate,2015-12-05 00:00:00,707.512,100,100,95,55,-1.900065407,-8,0,0,0,1,0,0,0,0,0,0,1,2nd,1,1,0,0,0,0
446,15169,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
225,3571,0,I agree to participate,2016-01-21 13:12:44,1959.388,,,,100,,53.125,,,,1,0,0,0,0,0,0,1,0,0,0,1st,1,1,0,0,0,0
30,1591,0,I agree to participate,2015-09-07 00:00:00,764.811,,,,100,,40.90909091,,,,1,0,0,0,1,1,0,0,0,0,0,2nd,1,1,0,0,0,0
415,10564,0,I agree to participate,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,1,3rd,1,1,0,0,0,0
41,2104,0,I agree to participate,2015-09-14 00:00:00,5502.175,I agree to participate,2015-12-08 08:37:22,3115.922,100,100,15.625,43.75,1.695800591,0.333333333,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
259,6004,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
286,8521,0,I agree to participate,2016-01-22 17:33:40,264.46,,,,100,,33.33333333,,,,0,1,0,0,0,0,0,1,0,0,0,1st,1,1,0,0,0,0
263,6356,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
539,14349,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
342,9972,0,I agree to participate,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,3rd,1,1,0,0,0,0
487,11803,0,I agree to participate,2016-08-23 13:39:01,594.881,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
226,3466,0,I agree to participate,2016-01-19 17:48:03,461.815,I agree to participate,2016-05-03 05:23:58,252.26,,,,,,,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
286,3724,0,I agree to participate,2016-01-25 14:17:02,711.822,I agree to participate,2016-04-28 10:51:40,696.281,100,100,41.66666667,54.16666667,0.711934474,0.214285714,0,1,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
223,7211,0,I agree to participate,2016-01-20 16:32:42,1375.199,I agree to participate,2016-04-25 18:19:53,1250.28,100,100,15.625,50,2.657432389,0.407407407,0,1,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
157,3961,0,I agree to participate,2015-09-29 00:00:00,2463.419,I agree to participate,2015-12-06 20:04:47,1575.849,100,100,12.76595745,27.65957447,0.703501165,0.170731707,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
143,2,0,I agree to participate,2015-09-03 00:00:00,2265.939,I agree to participate,2015-12-08 19:19:43,3422.066,100,100,10,10,0,0,0,1,0,0,0,0,1,0,0,0,0,4th,1,1,0,0,0,0
574,8209,0,I agree to participate,2016-09-01 19:44:23,2005.806,,,,100,,25,,,,0,1,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
554,14704,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
247,5466,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
139,1895,0,I agree to participate,2015-09-07 00:00:00,1381.898,I agree to participate,2015-12-13 00:00:00,364.471,100,100,17.0212766,12.76595745,-0.239908167,-0.051282051,1,0,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
135,713,0,I agree to participate,,,I agree to participate,2015-11-10 00:00:00,1993.629,,100,,76.66666667,,,1,0,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
410,11284,0,I agree to participate,2016-08-19 12:23:43,548.228,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,1,3rd,1,1,0,0,0,0
30,1697,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
523,13864,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
272,6893,0,I agree to participate,2016-01-24 11:02:39,6542.989,,,,100,,36.17021277,,,,0,1,0,0,0,0,0,1,0,0,0,1st,1,1,0,0,0,0
349,1890,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
259,5946,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
18,1483,0,I agree to participate,2015-08-28 00:00:00,1247.265,I agree to participate,2015-12-07 18:12:26,539.562,100,100,17.0212766,34.04255319,0.664910629,0.205128205,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
540,14391,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
508,12469,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
220,6965,0,I agree to participate,2016-01-20 07:27:59,1479.433,I agree to participate,2016-04-25 07:22:44,817.551,100,100,25,37.5,0.961823104,0.166666667,0,1,0,0,0,0,0,1,0,0,0,3rd,0,1,0,0,0,0
530,15243,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
42,2134,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
263,6386,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
132,141,0,I agree to participate,2015-09-01 00:00:00,928.227,I agree to participate,2015-11-07 00:00:00,427.129,100,100,46.66666667,73.33333333,1.801433273,0.5,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
286,3347,0,I agree to participate,2016-01-28 13:35:00,920.655,I agree to participate,2016-04-29 07:18:42,263.671,100,100,50,29.16666667,-1.186557457,-0.416666667,0,1,0,0,0,0,0,0,0,0,1,1st,1,1,0,0,0,0
515,6864,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
45,2210,0,,,,I agree to participate,2015-12-10 13:55:53,735.141,,100,,25,,,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
555,14697,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
135,556,0,I agree to participate,2015-09-01 00:00:00,1523.339,,,,100,,46.66666667,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
336,9681,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
509,12722,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
531,14038,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
568,15283,0,I agree to participate,2016-09-01 16:57:42,1276.325,,,,100,,16.66666667,,,,1,0,0,0,0,0,0,0,0,0,0,2nd,1,1,0,0,0,0
243,5407,0,I agree to participate,2016-01-18 23:33:21,8889.313,,,,100,,18.18181818,,,,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
538,14305,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
225,5058,0,I agree to participate,2016-01-20 19:30:25,3488.764,I agree to participate,2016-05-02 22:08:51,2287.223,100,100,37.5,59.375,1.133241864,0.35,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
261,6075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
305,8131,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
75,2910,0,I agree to participate,2015-09-09 00:00:00,1143.762,,,,100,,8.333333333,,,,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
579,15435,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
279,7572,0,I agree to participate,2016-01-24 13:22:35,113.64,I agree to participate,2016-04-25 07:44:49,127.927,86.66666667,96.66666667,23.33333333,26.66666667,0.169463709,0.043478261,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
31,1725,0,I do not agree to participate,,,I agree to participate,2015-12-10 10:12:03,260.172,,100,,13.63636364,,,0,1,0,0,0,1,0,0,0,0,0,3rd,0,1,0,0,0,0
247,5422,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
320,9173,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
318,8854,0,I agree to participate,2016-01-25 20:33:55,4278.539,I agree to participate,2016-05-16 10:55:45,704.687,100,100,46.80851064,93.61702128,2.167752251,0.88,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
342,9968,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
516,13305,0,I agree to participate,2016-08-31 13:14:04,959.561,,,,100,,33.33333333,,,,0,1,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
294,7870,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
587,15610,0,I agree to participate,2016-09-02 09:48:48,1054.194,,,,100,,30.76923077,,,,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
272,6915,0,I agree to participate,2016-01-19 17:42:15,1508.279,,,,100,,14.89361702,,,,0,1,0,0,1,1,0,0,0,0,0,3rd,1,1,0,0,0,0
342,9903,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
286,8595,0,I agree to participate,2016-01-22 18:18:27,908.351,I agree to participate,2016-04-27 23:57:41,660.012,100,100,70.83333333,87.5,0.949245965,0.571428571,0,1,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
16,1137,1,I agree to participate,2015-08-25 00:00:00,174.57,,,,100,,100,,,,0,0,0,1,0,0,0,0,0,0,1,5th,1,0,0,0,0,0
472,11739,0,I agree to participate,2016-08-28 07:41:33,331.761,,,,100,,10,,,,0,1,0,0,0,0,0,0,0,0,0,4th,1,1,0,0,0,0
275,2531,0,,,,I agree to participate,2016-04-28 08:16:29,599.915,,100,,21.875,,,0,1,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
206,19,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
135,4270,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
269,6812,0,I agree to participate,2016-01-20 17:09:14,1045.726,I agree to participate,2016-04-25 15:00:08,1907.13,100,100,36.66666667,56.66666667,1.618729023,0.315789474,1,0,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
137,3147,0,I agree to participate,2015-09-11 00:00:00,2050.086,I agree to participate,2015-12-05 00:00:00,6075.072,100,100,20,35,0.712524528,0.1875,0,1,0,0,0,0,1,0,0,0,0,1st,1,1,0,0,0,0
560,14776,0,I agree to participate,2016-09-02 09:25:27,1912.962,,,,100,,26.66666667,,,,0,1,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
168,2254,0,I agree to participate,2015-09-14 00:00:00,2178.977,,,,100,,13.33333333,,,,1,0,0,0,0,0,0,0,1,0,0,1st,1,1,0,0,0,0
517,13758,0,I agree to participate,2016-08-30 12:32:21,415.551,,,,100,,22.72727273,,,,0,0,0,1,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
335,9495,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
286,3376,0,I agree to participate,2016-01-22 17:05:01,631.064,I agree to participate,2016-04-23 14:30:47,127.385,100,100,29.16666667,25,-0.237311491,-0.058823529,0,1,0,0,0,0,0,0,0,0,1,1st,1,1,0,0,0,0
46,2236,0,I agree to participate,2015-09-14 00:00:00,4918.525,I agree to participate,,,100,,34.375,,,,1,0,0,0,0,0,0,1,0,0,0,2nd,1,1,0,0,0,0
268,6717,0,I agree to participate,2016-01-25 14:06:57,1711.583,I agree to participate,2016-05-02 14:05:48,1793.393,100,100,23.33333333,60,1.74114372,0.47826087,1,0,0,0,0,0,0,1,0,0,0,2nd,1,1,0,0,0,0
190,4321,0,I agree to participate,2016-01-01 23:36:47,988.251,,,,100,,83.33333333,,,,1,0,0,0,0,1,0,0,0,0,0,1st,1,1,0,0,0,0
60,2555,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
514,13234,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
577,8188,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
355,10157,0,I agree to participate,2016-03-30 14:41:40,367.6,I agree to participate,2016-06-01 16:19:58,492.528,100,100,12.5,25,1.269148634,0.142857143,1,0,0,0,0,1,0,0,0,0,0,4th,1,1,0,0,0,0
508,12480,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
554,14686,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
